field_name,field_origin,source_name,approved_role,observed_dtype,observed_min,observed_max,category_levels,n_unique,missing_count,missing_pct,unit_or_scale,documented_meaning,quality_limitation,september_handling,meaning_status,purpose,inputs,exact_derivation,allowed_values,field_version,owner,dictionary_version
cat17,source,cat17,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat18,source,cat18,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat19,source,cat19,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat20,source,cat20,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat21,source,cat21,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat22,source,cat22,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat23,source,cat23,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat24,source,cat24,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat25,source,cat25,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat26,source,cat26,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat27,source,cat27,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat28,source,cat28,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat29,source,cat29,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat30,source,cat30,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat31,source,cat31,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat32,source,cat32,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat33,source,cat33,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat34,source,cat34,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat35,source,cat35,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat36,source,cat36,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat37,source,cat37,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat38,source,cat38,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat39,source,cat39,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat40,source,cat40,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat41,source,cat41,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat42,source,cat42,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat43,source,cat43,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat44,source,cat44,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat45,source,cat45,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat46,source,cat46,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat47,source,cat47,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat48,source,cat48,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat49,source,cat49,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat50,source,cat50,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat51,source,cat51,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat52,source,cat52,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat53,source,cat53,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat54,source,cat54,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat55,source,cat55,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat56,source,cat56,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat57,source,cat57,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat58,source,cat58,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat59,source,cat59,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat60,source,cat60,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat61,source,cat61,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat62,source,cat62,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat63,source,cat63,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat64,source,cat64,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat65,source,cat65,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat66,source,cat66,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat67,source,cat67,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat68,source,cat68,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat69,source,cat69,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat70,source,cat70,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat71,source,cat71,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat72,source,cat72,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat73,source,cat73,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C""]",3,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat74,source,cat74,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C""]",3,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat75,source,cat75,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C""]",3,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat76,source,cat76,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C""]",3,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat77,source,cat77,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat78,source,cat78,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat79,source,cat79,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat80,source,cat80,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat81,source,cat81,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat82,source,cat82,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat83,source,cat83,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat84,source,cat84,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat85,source,cat85,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat86,source,cat86,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat87,source,cat87,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat88,source,cat88,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""D"", ""E""]",4,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat89,source,cat89,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""G"", ""H"", ""I""]",8,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat90,source,cat90,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G""]",7,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat91,source,cat91,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H""]",8,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat92,source,cat92,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""F"", ""H"", ""I""]",7,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat93,source,cat93,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E""]",5,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat94,source,cat94,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G""]",7,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat95,source,cat95,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E""]",5,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat96,source,cat96,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""I""]",8,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat97,source,cat97,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G""]",7,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat98,source,cat98,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E""]",5,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat99,source,cat99,anonymous nominal categorical predictor,object,,,"[""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""M"", ""N"", ""O"", ""P"", ""R"", ""S"", ""T""]",16,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
cat100,source,cat100,anonymous nominal categorical predictor,object,,,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M"", ""N"", ""O""]",15,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.1.0
